row_id,drink,date_modified,id_drink,alcoholic,category,drink_thumb,glass,iba,video,ingredient_number,ingredient,measure
398,Oreo Mudslide,7/19/16 11:43,13499,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tpwwut1468925017.jpg,Collins Glass,NA,NA,1,Vodka,1 oz
398,Oreo Mudslide,7/19/16 11:43,13499,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tpwwut1468925017.jpg,Collins Glass,NA,NA,2,Kahlua,1 oz
398,Oreo Mudslide,7/19/16 11:43,13499,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tpwwut1468925017.jpg,Collins Glass,NA,NA,3,Bailey's irish cream,1 oz
398,Oreo Mudslide,7/19/16 11:43,13499,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tpwwut1468925017.jpg,Collins Glass,NA,NA,4,Vanilla ice-cream,2 scoops
398,Oreo Mudslide,7/19/16 11:43,13499,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tpwwut1468925017.jpg,Collins Glass,NA,NA,5,Oreo cookie,1
399,Orgasm,9/8/17 16:55,11872,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vr6kle1504886114.jpg,Cocktail glass,NA,NA,1,Creme de Cacao,1/2 oz white
399,Orgasm,9/8/17 16:55,11872,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vr6kle1504886114.jpg,Cocktail glass,NA,NA,2,Amaretto,1/2 oz
399,Orgasm,9/8/17 16:55,11872,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vr6kle1504886114.jpg,Cocktail glass,NA,NA,3,Triple sec,1/2 oz
399,Orgasm,9/8/17 16:55,11872,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vr6kle1504886114.jpg,Cocktail glass,NA,NA,4,Vodka,1/2 oz
399,Orgasm,9/8/17 16:55,11872,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vr6kle1504886114.jpg,Cocktail glass,NA,NA,5,Light cream,1 oz
400,Owen's Grandmother's Revenge,8/24/17 10:02,13200,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/0wt4uo1503565321.jpg,Highball glass,NA,NA,1,Whiskey,12 oz
400,Owen's Grandmother's Revenge,8/24/17 10:02,13200,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/0wt4uo1503565321.jpg,Highball glass,NA,NA,2,Beer,12 oz
400,Owen's Grandmother's Revenge,8/24/17 10:02,13200,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/0wt4uo1503565321.jpg,Highball glass,NA,NA,3,Lemonade,12 oz frozen
400,Owen's Grandmother's Revenge,8/24/17 10:02,13200,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/0wt4uo1503565321.jpg,Highball glass,NA,NA,4,Ice,1 cup crushed
401,Paradise,9/2/17 12:17,17190,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ejozd71504351060.jpg,Cocktail glass,Unforgettables,NA,1,Gin,7 parts
401,Paradise,9/2/17 12:17,17190,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ejozd71504351060.jpg,Cocktail glass,Unforgettables,NA,2,Apricot Brandy,4 parts
